date_time_respond,age,nationality,country workplace,working abroad,continent,gender,marital status,qualification,institution,years of service,professional position,proportion coauthored,benefits_qualityofpaper,benefits_increaseinpublication,benefits_divisionlabour,benefits_mutualgain_expertise,benefits_knowcolleague,benefits_junior,benefits_mentorbysenior,benefits_international,benefits_sharing_researchcosts,benefits_multidisciplinary,benefits_largeinternational_crosscountry,benefits_furthernetworks,relationship_mentor_writepaper,relationship_mentor_collectdata,relationship_mentor_analyzing,relationship_mentor_designing,relationship_mentor_revising,relationship_mentor_reviewing,relationship_mentor_originalidea,relationship_colleague_writepaper,relationship_colleague_collectdata,relationship_colleague_analyzing,relationship_colleague_designing,relationship_colleague_revising,relationship_colleague_reviewing,relationship_colleague_originalidea,authororder_significantcontribution,authororder_alphabet_equalcontribution,authororder_alphabet_nosignificant,preference_nationality,preference_gender,preference_ethnicity,preference_higherrank,preference_equalacademicrank,preference_juniors,preference_department,preference_friends
11/07/2015 08:10,35 - 45,Iran,Australia,Yes,Oceania,Male,Married,Masters,University,1 - 5 years,Lecturer,About two-third,4,4,3,2,2,2,2,3,2,3,4,4,Slightly Important,Important,Not Important,Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Important,Important,Slightly Important,Important,Important,Important,In about two-third of my papers,In about half of my papers,In about half of my papers,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Always
11/07/2015 12:06,less than 35,USA,USA,No,North America,Male,Single,Masters,University,1 - 5 years,Assistant Professor,Almost all papers,4,3,4,3,1,2,1,1,2,1,1,1,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,In none of my papers,In all my papers,In none of my papers,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time
11/07/2015 12:18,35 - 45,Vietnam,Vietnam,No,Asia,Male,Married,Masters,University,More than 10 years,Lecturer,All papers,4,4,3,4,3,3,4,4,3,4,3,4,Very Important,Important,Important,Very Important,Very Important,Important,Very Important,Important,Important,Very Important,Important,Important,Important,Important,In about two-third of my papers,In none of my papers,In none of my papers,Never,Never,Never,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes
11/07/2015 12:18,56 and above,Malaysia,Malaysia,No,Asia,Male,Married,Masters,University,More than 10 years,Professor,About one-third,2,1,2,3,3,4,1,2,1,3,2,2,Important,Very Important,Important,Important,Important,Important,Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Important,Slightly Important,In almost all my papers,In very few of my papers,In very few of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/07/2015 12:34,46 - 55,Israel,Israel,No,Asia,Male,Married,Masters,College,1 - 5 years,Assistant Professor,About two-third,4,3,4,4,2,4,2,4,3,4,4,4,Very Important,Important,Important,Very Important,Slightly Important,Not Important,Very Important,Very Important,Important,Important,Very Important,Slightly Important,Not Important,Very Important,In all my papers,In about half of my papers,In none of my papers,Always,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes
11/07/2015 12:48,35 - 45,Iran,Iran,No,Asia,Female,Married,Masters,Research Institute,1 - 5 years,Assistant Professor,Almost all papers,4,3,1,4,3,3,4,3,2,4,4,3,Slightly Important,Important,Important,Important,Important,Slightly Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Slightly Important,Very Important,In about one-third of my papers,In almost all my papers,In none of my papers,Never,Never,Never,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes
11/07/2015 12:51,35 - 45,USA,USA,No,North America,Male,Other,Masters,College,6 - 10 years,Professor,About two-third,3,3,3,3,3,3,1,3,3,3,3,3,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In about half of my papers,In about half of my papers,In about half of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/07/2015 12:58,less than 35,Mexico,Mexico,No,North America,Male,Married,Masters,University,6 - 10 years,Lecturer,All papers,3,3,3,4,1,3,2,3,2,3,3,4,Important,Not Important,Very Important,Important,Important,Slightly Important,Very Important,Very Important,Not Important,Important,Important,Important,Not Important,Very Important,In all my papers,In none of my papers,In none of my papers,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
11/07/2015 13:54,46 - 55,Taiwan,Taiwan,No,Asia,Male,Married,Masters,University,More than 10 years,Associate Professor,None. All have been solo written,3,2,2,2,3,2,3,4,2,2,2,2,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Important,Very Important,In all my papers,In none of my papers,In none of my papers,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes
11/07/2015 14:01,less than 35,Slovakia,Slovakia,No,Europe,Male,Single,PhD,University,1 - 5 years,Lecturer,Very few,3,1,2,4,3,2,3,3,1,2,2,1,Important,Not Important,Slightly Important,Very Important,Important,Slightly Important,Very Important,Important,Important,Important,Important,Important,Important,Important,In about one-third of my papers,In very few of my papers,In about two-third of my papers,Most of the time,Never,Never,Always,Sometimes,Never,Most of the time,Most of the time
11/07/2015 14:19,less than 35,Korea,Japan,Yes,Asia,Male,Married,Masters,Research Institute,1 - 5 years,Researcher/Scientist,All papers,4,4,3,4,3,1,1,3,2,3,3,3,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Important,Important,Important,Important,Important,Important,Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Most of the time,Never,Never,Never,Never
11/07/2015 14:48,56 and above,Romania,Romania,No,Europe,Female,Single,Masters,University,More than 10 years,Professor,About two-third,4,2,2,4,2,4,3,4,3,4,4,4,Important,Slightly Important,Important,Very Important,Important,Slightly Important,Very Important,Important,Slightly Important,Important,Important,Important,Important,Very Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Never,Most of the time,Sometimes,Never
11/07/2015 14:49,less than 35,Egypt,Egypt,No,Africa,Male,Married,Masters,University,1 - 5 years,Assistant Professor,Almost all papers,4,3,4,4,3,3,3,4,2,2,3,3,Important,Important,Important,Important,Very Important,Slightly Important,Important,Important,Important,Important,Very Important,Very Important,Slightly Important,Important,In none of my papers,In all my papers,In all my papers,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time
11/07/2015 14:50,35 - 45,Japan,Japan,No,Asia,Male,Married,Masters,University,6 - 10 years,Associate Professor,About two-third,4,1,3,2,2,2,2,1,2,1,1,2,Important,Not Important,Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,In none of my papers,In none of my papers,In all my papers,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never
11/07/2015 16:00,46 - 55,Portugal,United Kingdom,Yes,Europe,Male,Married,Masters,University,Less than 1 year,Professor,Almost all papers,4,1,1,4,3,3,3,1,1,1,1,1,Very Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Very Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Slightly Important,Very Important,In very few of my papers,In about half of my papers,In about half of my papers,Never,Never,Never,Never,Never,Never,Never,Sometimes
11/07/2015 16:19,56 and above,Spain,Spain,No,Europe,Male,Married,Masters,University,More than 10 years,Professor,About two-third,3,1,1,4,1,1,1,2,1,2,1,1,Important,Slightly Important,Slightly Important,Important,Important,Slightly Important,Very Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,In none of my papers,In all my papers,In none of my papers,Most of the time,Sometimes,Most of the time,Never,Most of the time,Sometimes,Most of the time,Sometimes
11/07/2015 16:39,35 - 45,Italy,Italy,No,Europe,Male,Married,Masters,University,More than 10 years,Associate Professor,About two-third,4,4,3,3,2,1,1,4,2,3,3,3,Important,Important,Very Important,Slightly Important,Slightly Important,Very Important,Important,Important,Important,Very Important,Slightly Important,Slightly Important,Very Important,Important,In very few of my papers,In very few of my papers,In almost all my papers,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
11/07/2015 16:46,46 - 55,Slovakia,Czech Republic,Yes,Europe,Male,Married,Other,University,1 - 5 years,Professor,About half,3,3,3,3,1,3,1,2,1,1,2,3,Slightly Important,Important,Important,Not Important,Not Important,Important,Slightly Important,Slightly Important,Important,Important,Important,Important,Important,Important,In all my papers,In none of my papers,In none of my papers,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes
11/07/2015 16:53,35 - 45,Australia,Australia,No,Oceania,Male,Single,Masters,Other,1 - 5 years,Economist (not holding academic position ),About one-third,3,2,4,1,1,1,2,2,1,3,1,1,Not Important,Slightly Important,Important,Slightly Important,Important,Very Important,Very Important,Very Important,Not Important,Important,Slightly Important,Very Important,Slightly Important,Important,In none of my papers,In all my papers,In none of my papers,Never,Never,Never,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes
11/07/2015 17:12,35 - 45,Denmark,Denmark,No,Europe,Male,Single,Masters,University,6 - 10 years,Professor,About two-third,3,2,2,4,1,1,1,1,1,2,1,1,Slightly Important,Not Important,Not Important,Slightly Important,Important,Not Important,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Important,In none of my papers,In very few of my papers,In almost all my papers,Never,Never,Never,Never,Never,Never,Never,Most of the time
11/07/2015 17:14,35 - 45,USA,USA,No,North America,Male,Married,Masters,University,Less than 1 year,Assistant Professor,About half,4,3,3,3,2,3,1,1,1,1,1,2,Very Important,Important,Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Very Important,Important,Important,Slightly Important,Slightly Important,Slightly Important,Very Important,In none of my papers,In none of my papers,In all my papers,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always
11/07/2015 17:14,less than 35,France,France,No,Europe,Male,Married,Masters,University,1 - 5 years,Assistant Professor,All papers,4,2,3,3,3,4,4,3,1,2,2,2,Important,Not Important,Important,Important,Very Important,Not Important,Important,Important,Important,Important,Important,Very Important,Slightly Important,Important,In all my papers,In none of my papers,In none of my papers,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
11/07/2015 17:16,35 - 45,Romania,Romania,No,Europe,Male,Married,Masters,University,More than 10 years,Associate Professor,Almost all papers,4,3,3,4,2,4,4,3,3,4,3,4,Very Important,Important,Important,Very Important,Very Important,Important,Important,Important,Important,Very Important,Important,Very Important,Slightly Important,Very Important,In almost all my papers,In very few of my papers,In very few of my papers,Never,Never,Never,Never,Never,Sometimes,Most of the time,Sometimes
11/07/2015 17:19,35 - 45,Spain,France,Yes,Europe,Male,Single,Masters,Research Institute,6 - 10 years,Researcher/Scientist,About two-third,3,1,2,2,2,2,1,1,3,1,2,2,Important,Important,Very Important,Very Important,Slightly Important,Slightly Important,Very Important,Important,Important,Very Important,Very Important,Slightly Important,Slightly Important,Very Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Never,Never,Never,Never,Always
11/07/2015 17:34,35 - 45,Italy,Italy,No,Europe,Male,Single,Masters,University,1 - 5 years,Associate Professor,Almost all papers,3,1,4,3,2,3,1,2,1,3,2,2,Important,Slightly Important,Slightly Important,Important,Important,Important,Important,Important,Slightly Important,Slightly Important,Important,Important,Important,Slightly Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes
11/07/2015 17:34,46 - 55,United Kingdom,United Kingdom,No,Europe,Male,Married,Masters,University,1 - 5 years,Professor,Almost all papers,4,1,3,4,4,4,4,3,2,3,3,1,Important,Not Important,Important,Important,Important,Slightly Important,Slightly Important,Important,Slightly Important,Important,Important,Important,Important,Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Never,Never,Sometimes,Never,Never
11/07/2015 17:47,less than 35,India,India,No,Asia,Male,Married,Masters,University,1 - 5 years,Assistant Professor,All papers,3,2,4,4,4,4,3,4,4,4,4,4,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Most of the time
11/07/2015 17:48,less than 35,Serbia,Serbia,No,Europe,Female,Single,PhD,University,1 - 5 years,Other,All papers,4,2,3,3,2,1,4,2,1,3,4,2,Slightly Important,Not Important,Important,Important,Very Important,Very Important,Important,Important,Very Important,Important,Slightly Important,Slightly Important,Slightly Important,Important,In all my papers,In none of my papers,In none of my papers,Always,Sometimes,Most of the time,Most of the time,Sometimes,Never,Most of the time,Sometimes
11/07/2015 18:06,46 - 55,United Kingdom,United Kingdom,No,Europe,Male,Married,Masters,University,1 - 5 years,Professor,About two-third,3,3,3,3,1,3,3,3,3,2,2,2,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In very few of my papers,In almost all my papers,In none of my papers,Never,Never,Never,Never,Never,Sometimes,Never,Most of the time
11/07/2015 18:06,35 - 45,Bangladesh,Japan,Yes,Asia,Male,Married,Masters,Research Institute,1 - 5 years,Researcher/Scientist,About two-third,4,3,4,4,1,1,2,3,3,3,1,3,Very Important,Important,Important,Not Important,Not Important,Important,Slightly Important,Very Important,Very Important,Very Important,Not Important,Very Important,Very Important,Very Important,In none of my papers,In almost all my papers,In none of my papers,Sometimes,Never,Never,Most of the time,Most of the time,Sometimes,Sometimes,Never
11/07/2015 18:46,35 - 45,Italy,Italy,No,Europe,Female,Married,PhD,University,More than 10 years,Associate Professor,About two-third,4,2,2,4,3,3,2,3,1,1,3,4,Important,Important,Important,Very Important,Slightly Important,,Very Important,Very Important,Slightly Important,Slightly Important,Very Important,Important,Slightly Important,Very Important,In none of my papers,In all my papers,In none of my papers,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
11/07/2015 18:50,35 - 45,Nigeria,Malaysia,Yes,Asia,Male,Single,Masters,University,1 - 5 years,Post Doc,Almost all papers,3,3,3,4,3,3,4,4,3,3,4,3,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,Very Important,Important,In almost all my papers,In none of my papers,In none of my papers,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never
11/07/2015 19:17,less than 35,Slovenia,Slovenia,No,Europe,Male,Single,Masters,University,1 - 5 years,Assistant Professor,About two-third,4,2,3,3,4,3,3,4,4,2,3,4,Important,Important,Very Important,Very Important,Important,Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Important,In about half of my papers,In very few of my papers,In very few of my papers,Never,Never,Never,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time
11/07/2015 19:32,56 and above,USA,USA,No,North America,Male,Married,Masters,University,More than 10 years,Professor,Almost all papers,4,1,1,4,4,4,2,1,1,4,2,3,Very Important,Slightly Important,Not Important,Important,Important,Important,Slightly Important,Very Important,Slightly Important,Not Important,Important,Important,Important,Slightly Important,In none of my papers,In almost all my papers,In almost all my papers,Never,Never,Never,Never,Never,Sometimes,Never,Never
11/07/2015 19:53,less than 35,Netherlands,United Kingdom,Yes,Europe,Male,Single,Masters,Other,1 - 5 years,,Very few,2,3,3,3,2,1,3,3,1,3,3,3,Very Important,Slightly Important,Important,Important,Important,Slightly Important,Slightly Important,Not Important,Very Important,Very Important,Slightly Important,Slightly Important,Important,,In none of my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,,Never,Never,Never
11/07/2015 20:19,35 - 45,Spain,Spain,No,Europe,Male,Married,Masters,University,6 - 10 years,Associate Professor,Almost all papers,1,2,4,4,3,3,3,3,3,4,3,3,Important,Important,Important,Very Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In about two-third of my papers,In about one-third of my papers,In none of my papers,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes
11/07/2015 20:28,less than 35,USA,USA,No,North America,Male,Married,Masters,University,1 - 5 years,Lecturer,About half,4,2,1,3,3,4,4,1,1,2,1,3,Slightly Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Not Important,Very Important,Very Important,Very Important,Important,Slightly Important,Important,In about one-third of my papers,In none of my papers,In about two-third of my papers,Never,Never,Never,Most of the time,Sometimes,Never,Always,Always
11/07/2015 20:38,46 - 55,Spain,Spain,No,Europe,Male,Married,Masters,University,More than 10 years,Professor,Almost all papers,4,4,2,4,4,4,4,4,4,4,4,4,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Important,Very Important,In about two-third of my papers,In about one-third of my papers,In very few of my papers,Most of the time,Never,Never,Never,Never,Most of the time,Most of the time,Never
11/07/2015 20:42,46 - 55,Sweden,Sweden,No,Europe,Male,Married,Masters,University,More than 10 years,Associate Professor,Almost all papers,3,3,3,3,2,4,2,3,1,1,1,2,Important,Important,Important,Important,Important,Important,Not Important,Important,Important,Important,Important,Important,Important,Not Important,In very few of my papers,In none of my papers,In almost all my papers,Never,Never,Never,Never,Never,Never,Never,Most of the time
11/07/2015 21:14,35 - 45,Spain,Spain,No,Europe,Male,Married,Masters,University,1 - 5 years,Associate Professor,Almost all papers,4,2,2,4,4,2,2,4,3,2,2,3,Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Never,Never,Never,Never,Sometimes
11/07/2015 21:29,46 - 55,Italy,Italy,No,Europe,Male,Married,Masters,University,1 - 5 years,Associate Professor,Almost all papers,3,3,4,4,1,3,1,3,4,2,3,2,Very Important,Important,Important,Very Important,Very Important,Slightly Important,Very Important,Important,Important,Slightly Important,Important,Very Important,Slightly Important,Very Important,In none of my papers,In none of my papers,In all my papers,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Most of the time
11/07/2015 21:45,35 - 45,Romania,Romania,No,Europe,Female,Married,Masters,University,More than 10 years,Professor,Almost all papers,3,3,4,4,2,2,2,3,3,4,4,3,Very Important,Slightly Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Slightly Important,Very Important,Very Important,Important,Slightly Important,Very Important,In almost all my papers,In about two-third of my papers,In very few of my papers,Never,Never,Never,Never,Never,Sometimes,Most of the time,Most of the time
11/07/2015 22:05,35 - 45,Portugal,France,Yes,Europe,Female,Married,Masters,University,Less than 1 year,Associate Professor,About two-third,4,4,4,4,1,2,3,3,2,3,2,3,Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Very Important,Very Important,Important,Important,In about one-third of my papers,In almost all my papers,In about half of my papers,Always,Most of the time,Never,Sometimes,Always,Most of the time,Sometimes,Most of the time
11/07/2015 22:06,35 - 45,Bulgaria,Bulgaria,No,Europe,Male,Married,Masters,University,More than 10 years,Professor,About two-third,3,2,3,4,2,4,2,3,1,4,3,3,Important,Very Important,Very Important,Very Important,Important,Important,,Important,Very Important,Very Important,Very Important,Important,Important,Slightly Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Always
11/07/2015 22:13,56 and above,USA,USA,No,North America,Male,Married,Masters,University,More than 10 years,Professor,Almost all papers,4,1,3,4,3,3,2,2,1,1,1,1,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,In none of my papers,In all my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Sometimes
11/07/2015 22:18,56 and above,USA,USA,No,North America,Male,Married,Masters,University,6 - 10 years,Professor,Almost all papers,4,1,4,4,1,3,1,1,1,3,1,1,Very Important,Very Important,Very Important,Very Important,Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,In very few of my papers,In none of my papers,In almost all my papers,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes
11/07/2015 22:27,35 - 45,Brazil,Brazil,No,South America,Male,Married,Masters,University,More than 10 years,Professor,Almost all papers,2,1,1,3,3,4,4,4,1,4,4,4,Important,Slightly Important,Slightly Important,Important,Important,Slightly Important,Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Important,In almost all my papers,In very few of my papers,In very few of my papers,Never,Never,Never,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time
11/07/2015 22:31,35 - 45,Portugal,USA,Yes,North America,Female,Married,Masters,Other,More than 10 years,Economist (not holding academic position ),Almost all papers,3,4,4,4,3,2,2,2,2,3,3,4,Very Important,Slightly Important,Slightly Important,Important,Very Important,Not Important,Important,Very Important,Slightly Important,Important,Important,Important,Slightly Important,Important,In very few of my papers,In almost all my papers,In none of my papers,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never
11/07/2015 22:45,35 - 45,Italy,Netherlands,Yes,Europe,Male,Married,PhD,University,More than 10 years,Senior Lecturer,Almost all papers,3,2,4,2,1,2,2,1,1,2,1,1,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Important,Important,Important,Slightly Important,Slightly Important,Slightly Important,Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/07/2015 22:53,35 - 45,Spain,Austria,Yes,Europe,Male,Married,Masters,University,1 - 5 years,Professor,Almost all papers,3,3,4,4,2,4,1,3,2,3,3,3,Very Important,Slightly Important,Important,Important,Very Important,Slightly Important,Important,Important,Important,Important,Important,Important,Important,Important,In very few of my papers,In almost all my papers,In very few of my papers,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time
11/07/2015 22:58,46 - 55,USA,Spain,Yes,Europe,Male,Married,Masters,University,More than 10 years,Professor,About two-third,4,2,3,4,3,2,1,3,1,3,2,2,Slightly Important,Important,Important,Important,Important,Important,Important,Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,In none of my papers,In almost all my papers,In very few of my papers,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes
11/07/2015 23:21,35 - 45,India,India,No,Asia,Male,Married,Masters,Research Institute,1 - 5 years,Assistant Professor,About two-third,4,3,3,4,2,3,3,3,3,3,3,2,Important,Very Important,Very Important,Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes
11/07/2015 23:52,35 - 45,USA,USA,No,North America,Male,Married,Masters,University,6 - 10 years,Assistant Professor,About two-third,4,3,1,2,2,2,2,1,1,1,1,2,Important,Important,Important,Very Important,Slightly Important,Slightly Important,Important,Important,Important,Important,Very Important,Slightly Important,Slightly Important,Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes
11/08/2015 00:26,less than 35,USA,USA,No,North America,Male,Single,Masters,College,1 - 5 years,Assistant Professor,Very few,4,4,4,4,3,2,4,2,3,1,1,2,Slightly Important,Slightly Important,Very Important,Very Important,Slightly Important,Slightly Important,Important,Slightly Important,Slightly Important,Very Important,Very Important,Slightly Important,Slightly Important,Important,In very few of my papers,In almost all my papers,In very few of my papers,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
11/08/2015 00:34,56 and above,USA,USA,No,North America,Male,Married,Masters,University,More than 10 years,Professor,Almost all papers,3,2,3,3,1,3,1,1,2,3,1,1,Very Important,Slightly Important,Important,Slightly Important,Important,Slightly Important,Very Important,Very Important,Slightly Important,Important,Important,Slightly Important,Slightly Important,Very Important,In about two-third of my papers,In very few of my papers,In none of my papers,Never,Never,Never,Never,Never,Most of the time,Most of the time,Sometimes
11/08/2015 00:45,56 and above,USA,USA,No,North America,Male,Married,Masters,University,More than 10 years,Professor,About two-third,3,1,2,3,2,2,2,2,1,1,1,1,Important,Not Important,Not Important,Not Important,Important,Important,Slightly Important,Important,Not Important,Not Important,Not Important,Important,Important,Slightly Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes
11/08/2015 00:45,35 - 45,India,India,No,Asia,Male,Married,Masters,College,6 - 10 years,Associate Professor,All papers,4,2,3,4,1,1,1,2,1,3,2,2,Very Important,Slightly Important,Important,Very Important,Important,Important,Very Important,Very Important,Slightly Important,Important,Very Important,Important,Important,Very Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Sometimes,Most of the time
11/08/2015 01:03,46 - 55,Italy,Italy,No,Europe,Male,Married,Masters,University,6 - 10 years,Associate Professor,Almost all papers,4,2,4,4,1,1,1,3,2,2,1,1,Important,Not Important,Slightly Important,Very Important,Very Important,Important,Important,Slightly Important,Important,Very Important,Important,Slightly Important,Slightly Important,Important,In none of my papers,In about two-third of my papers,In very few of my papers,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
11/08/2015 01:26,less than 35,USA,USA,No,North America,Male,Single,Masters,University,1 - 5 years,Assistant Professor,Very few,4,2,3,4,3,3,3,1,1,2,1,2,Very Important,Not Important,Not Important,Not Important,Slightly Important,Slightly Important,Very Important,Very Important,Not Important,Not Important,Not Important,Slightly Important,Slightly Important,Very Important,In none of my papers,In about one-third of my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/08/2015 01:40,56 and above,Italy,Italy,No,Europe,Female,Married,Masters,University,More than 10 years,Associate Professor,About two-third,4,3,3,4,4,4,4,4,4,4,4,4,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In very few of my papers,In all my papers,In very few of my papers,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes
11/08/2015 01:55,35 - 45,USA,USA,No,North America,Male,Other,Masters,University,More than 10 years,Associate Professor,About two-third,4,3,3,3,3,2,3,1,2,1,1,1,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Important,Important,Important,Important,Important,Important,Very Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Never,Most of the time,Never,Sometimes,Sometimes
11/08/2015 02:21,46 - 55,USA,USA,No,North America,Female,Married,Masters,University,More than 10 years,Professor,Almost all papers,4,1,3,4,3,2,2,2,2,3,2,1,Very Important,Very Important,Very Important,Very Important,Very Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Slightly Important,Very Important,In very few of my papers,In none of my papers,In almost all my papers,Never,Most of the time,Never,Never,Never,Sometimes,Sometimes,Sometimes
11/08/2015 02:33,46 - 55,Italy,Italy,No,Europe,Male,Married,PhD,University,6 - 10 years,Associate Professor,About two-third,3,3,2,4,1,3,1,3,2,3,1,3,Important,Important,Slightly Important,Very Important,Very Important,Slightly Important,Very Important,Important,Important,Important,Very Important,Important,Slightly Important,Not Important,In about one-third of my papers,In about half of my papers,In about half of my papers,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time
11/08/2015 03:26,less than 35,United Kingdom,United Kingdom,No,Europe,Male,Single,PhD,Other,Less than 1 year,Other,All papers,4,2,2,4,3,3,3,4,2,3,3,3,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Very Important,Important,Important,Very Important,Very Important,Important,Slightly Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time
